,Unnamed: 0,название,Год выхода,Жанр,Тип,Количество серий,Описание
0,0,Скалолазки / Iwa Kakeru!: Sport Climbing Girls [1 из 12+], 2020," комедия, школа, спорт", ТВ, 12+ (25 мин.)," Учащаяся средней школы Кономи Касахара была довольно известной девочкой, а все благодаря тому, что мало кто мог с ней сравниться в соревнованиях с головоломками. А вот спортивная деятельность не шибко её увлекала, но она решает исправить данное положение вещей и вступает в кружок по скалолазанию. Жажда узнавать новое движет девочкой, и она стремится постигнуть азы нового увлечения и оно ей нравится все сильнее. Причем девочка прилагает немалые усилия, чтобы достичь хороших результатов и помогать ей вызываются участницы клуба. Вот только девчонки из сообщества не такие уж милые по характеру, какими они видятся внешне. Новенькая в кружке старается изо всех сил понравиться  единомышленницам, и в силу расхождения характеров, девчонки нередко ссорятся, но общее дело их объединяет, и они продолжают корпеть над тем, чтобы покорять вершины. А в их увлечении это самое главное – взобраться на высоту и достичь вершины, ведь от тренировок на искусственных отвесных стенах они должны будут перейти к практике, а та довольно опасна, если не суметь подготовиться к таким трудностям. Что же качается Кономи, она не боится никакой опасности, желая испытать саму себя, тем более что она привыкла достигать успеха."
1,1, Второй Мэйджор (второй сезон) / Major 2nd (TV) 2nd Season [1-20 из 25], 2020," комедия, спорт, драма, сёнэн", ТВ, 25 (25 мин.)," У Горо Шингено был сын Дайго, учившийся в начальной школе. Сын талантливого человека собирается следовать стопами Горо, то есть стать бейсболистом. Дайго становится членом юношеской команды по бейсболу. Но талантом особым парень не наделен. Давление на парнишку оказывалось чрезмерное и он при всем своем желании играть, вынужден был оставить занятия бейсболом. Будни Дайго становятся посредственными и в них есть только школа и выполнение домашнего задания дома. Но перемены произойдут, и скучать заурядному спортсмену не придется. В класс Дайго поступает новенький ученик. Хикару Сато прибыл из Америки. Он приходился сыном известному человеку в мире спорта, а именно Тошии Сато. Но возникает вопрос"
2,2, Ван Пис / One Piece [1-944 из 10000+] [945 серия - 11 октября], 1999," приключения, комедия, фэнтези, сёнэн", ТВ, 10000+ (25 мин.)," Манки Д. Луффи, никогда не расстающийся с любимой соломенной шляпой, – во всех отношениях необычный паренек. Во-первых, он когда-то съел один из Дьявольских плодов, наделяющих человека необычными способностями, и теперь может растягивать части своего тела подобно резине. Во-вторых, он мечтает рано или поздно стать Королем пиратов, найдя Ван Пис –сокровище, собранное и спрятанное неизвестно где легендарным Голдом Роджером. Множество пиратов уже ищет Ван Пис на Гранд-Лайне – океаническом течении, опоясывающем весь мир и связывающем воедино множество островов. Мечта у Луффи есть, необходимая для ее воплощения сила – тоже. Чего же не хватает? Разумеется, команды верных «накама» – друзей, которые готовы будут отправиться за своим капитаном хоть на Гранд-Лайн, хоть на плаху. Набор в команду открыт, и стать другом Луффи может кто угодно"
3,3, Непутёвый ученик в школе магии (второй сезон) / Mahouka Koukou no Rettousei: Raihousha Hen [1 из 12+] [2 серия - 10 октября], 2020," школа, сёнэн, фантастика, приключения", ТВ, 12+ (25 мин.)," В начале XXI века магию стали воспринимать, как научную дисциплину и по состоянию на 2035 год данные исследователей были таковыми, что их невозможно было игнорировать, а в обществе ярко выделялись семьи, в которых имелись мощные маги, которым было подвластно совершать неимоверные вещи. И те маги, что были наиболее сильными, зачислялись в университет в первую очередь, вот только в процессе обучения, даже такие талантливые ребята лишались своих способностей.  И вместо таких учеников принимали студентов из запасного потока. Шиба Тацуя  был магом, но превратился в неуча, а его сестре Миюке удалось попасть в учебное заведение.  А вот одноклассница Миюки Шизуку Китаяма едет в Америку продолжать обучение, но возникает риск раскрытия тайны, носящей национальный характер. Но программа обмена студентов практиковалась и ранее и довольно успешно. В обмен на Шизуку в Японию приезжает Анджелина Кудо Шилдс. И когда девушка приехала в незнакомую для себя страну, на магов нападают существа, ранее никогда не встречавшиеся людям. Характерной особенностью нападения существ на людей становится обескровливание жертв, а за разгадку этих вампиров берется Тацуя, применяя магические навыки."
4,4, Полководцы Сигрдрифа / Senyoku no Sigrdrifa [1 из 12+] [2 серия - 10 октября], 2020, приключения, ТВ, 12+ (25 мин.)," Над страной нависает угроза, довольно серьезная, грозящая уничтожением государству. Исходит эта мощная опасность от разгневанного бога, решившего, что следует обрушить на человечество столпы. На помощь бедолагам приходит бог Один, предоставляющий людям своеобразное оружие в виде девы Валькирии и машин, сконструированных особым образом. И такая помощь была своевременной, ведь сражения людей с их врагами длились довольно долго и приобрели ожесточенный характер. Помогать страдающему человечеству берутся четыре юные и миленькие внешние девы, способные пилотировать боевыми самолетами.   Ответственность за исход битвы берет на себя черноволосая Рокка Мияко, обожающая веселиться и с виду кажущаяся обычной девушкой. А также боевыми солдатами являются блондинка Комагоми Азу и розоволосая Ватарай Ли, теряющая голову от цветов. К их компании добавилась белокурая Клаудия Брэдфорд, представляющая собой отменного пилота, переведенного из Европы на территорию Японии, чтобы справляться с ответственной задачей и её участие в боях ощутимо. А до того девушка смогла отметиться в битве, что проходила над горой Фудзи, и тогда-то она проявила невиданное мужество."
5,5, Избранный богами / Kami-tachi ni Hirowareta Otoko [1 из 12+] [2 серия - 11 октября], 2020," повседневность, фэнтези", ТВ, 12+ (25 мин.)," Жизнь не баловала тридцатидевятилетнего Рёма Такэбаяси, и он часто в своей жизни, не отличавшейся какими-то мощными событиями, испытывал неудачи. Отчаяние достигало предела. Бедняга так и не сумел разорвать порочный круг и в итоге умер во сне. Но над ним все-таки сжалились три божества и решили возродить Рёма в магическом мире, и в новом месте обитания парню, измученному прошлой жизнью, предстоит просто наслаждаться своим существованием. Вдобавок к этому божества наделяют Рёму сильными физическими данными и обеспечивают талантом управлять стихиями. А в новый мир Рёма отправляется в детском возрасте.  Минуло три года, за который Рёма изучил слизь особого вида, создав из неё настоящую армию, и сумел ощутимо развить свои магические таланты. Вот только обитание в пещере, представлявшей его дом, порядком ему надоело и парню желалось оказаться в обществе людей. И в этот период времени он встречает герцогского слугу, нуждавшегося в помощи, и когда та была ему оказана, он предложил Рёме убраться из леса. Рёма решается на риск и забирает с собой армию, а судьба опять переносит бедолагу в новое пространство, где ему предстоит купаться в лучах славы, чего он совершенно не ожидал."
6,6, Песня времени - Рапсодия Цветов и Пламени / Song of Time - Rhapsody of Flowers and Flames [1-12 из 13], 2020," приключения, фэнтези", ТВ, 13 (22 мин.)," В отдаленном уголке Млечного Пути сверкает планета, на которой зародилась магия - Верхарн. Этот удивительный мир разделен на 4 государства"
7,7, Ясяхимэ: Принцесса-полудемон / Hanyou no Yashahime: Sengoku Otogizoushi [1 из 12+] [2 серия  - 10 октября], 2020," приключения, фэнтези, комедия", ТВ, 12+ (25 мин.)," Феодальная Япония была разобщенной из-за политических распрей и неумения властей прийти к консенсусу, а у простого народа имелись свои проблемы. Касались они и полукровок, так и две сестрички-близняшки, являвшиеся наполовину демонами, наполовину людьми, подверглись серьезному испытанию. Лесной пожар стал причиной разлуки сестричек. Това решается отправиться в путь, не ведая, каким он может оказаться"
8,8, Волейбол!! (четвёртый сезон) / Haikyuu!!: To the Top [1-14 из 26] [15 серия - 9 октября], 2020," сёнэн, спорт, драма, повседневность, школа, комедия", ТВ, 26 (25 мин.)," Хината Шоё неожиданно увлекся волейболом. Парень буквально грезил им и перестал думать о каких-либо иных занятиях. А ведь волейбол не имел в Японии широкой популярности. Но данный вид спорта постепенно становился частью японской культуры и Хината стал одним из первопроходцев, создав собственную волейбольную команду. Единомышленники у парня имеются, но куда существенней проводить грамотные тренировки. Команда Хинаты после изнурительной подготовки входит в число участников чемпионата. Только команду ждал сокрушительный проигрыш в игре с королем площадки. Столь мощная неудача могла бы и повлиять на желание и дальше заниматься волейболом, но Хината устоял под давлением отчаяния. Он полагает, что нужно ещё больше тренироваться. Амбиции придают парню выносливости. Но имеется у него одно сложное обстоятельство и это соперник не только мощный, а и целеустремленный. Поступление в Каросуно становится для Хината проверкой на верность своим спортивным целям. В этом учебном заведении обучается парень, с которым Хината столкнулся в средней школе. Это был настоящий профессионал в своем деле. С ним предстоит играть Хинате и пройти в отборочных играх старших школ."
9,9, Сводки бюро расследований / Min Diao Ju Yi Wen Lu [1-10 из 12+], 2020," приключения, триллер, фэнтези", ТВ, 12+ (25 мин.)," Шэнла – опытный снайпер, на одном из последних заданий по задержанию группировки наркоторговцев, внедренный агент был раскрыт, что привело к срыву операции. В погоне за преступниками, нанятый проводник приводит их к жуткому месту – Пучине Каннибала. Все указывает на то, что преступники скрылись внутри таинственной пещеры, о которой ходит много пугающих историй. Внутри пещеры спецотряд находит труп одного из преступников, а через какое-то время и перепуганных агента и выжившего дилера. В ужасе они рассказали им о монстрах, которые обитают в этих пещерах. После первого столкновения с пожирающими плоть чудовищами в живых остались только капитан отряда, агент Сун Дэшэн, дилер и сам Шэнла, однако монстры не отступали и загоняли их все глубже в пещеру, где героям предстоит встретить старого знакомого – проводника, который оказался темным заклинателем.. Из ситуации, в которую невозможно поверить, героям помог спастись таинственный Вумьен. После знакомства со сверхъестественным, Шэнла и Сун Дэшэна пригласили присоединиться к Бюро паранормальных расследований, которое как раз занимается изучением дел, не поддающихся логичному объяснению."
